subject,session,utt_id,noun,adj,prenominal,adj_stem,noun_stem,x1,x2,x3,x4,x5,mean_typ,article,noun_conc,noun_freq,age
48,1,168916,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,14
48,1,168921,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,14
48,1,169316,bin,red,FALSE,red,bin,2,2,2,2,NA,2,a,4.72,55,14
48,1,169619,pea,green,TRUE,green,pea,6,7,5,4,NA,5.5,a,4.9,107,14
48,1,169632,hair,dirty,FALSE,dirti,hair,5,4,3,4,NA,4,a,4.97,1225,14
48,2,170361,tummy,green,TRUE,green,tummi,1,1,2,2,NA,1.5,a,4.68,293,18
48,2,170534,car,red,TRUE,red,car,3,3,3,3,NA,3,a,4.89,2310,18
48,2,170540,truck,purple,TRUE,purpl,truck,2,2,2,2,2,2,a,4.84,1124,18
48,2,170543,tree,green,TRUE,green,tree,5,5,6,NA,NA,5.333333333333333,a,5,1009,18
48,2,170551,cat,orange,FALSE,orang,cat,2,3,3,3,NA,2.75,a,4.86,966,18
48,2,170558,dinosaur,purple,TRUE,purpl,dinosaur,1,1,2,NA,NA,1.3333333333333333,a,4.87,514,18
48,2,170573,strawberry,red,TRUE,red,strawberri,5,6,5,6,NA,5.5,a,5,347,18
48,2,170574,cat,orange,FALSE,orang,cat,2,3,3,3,NA,2.75,a,4.86,966,18
48,2,170577,grasshopper,green,TRUE,green,grasshopp,6,5,7,3,NA,5.25,a,4.91,31,18
48,2,170578,apple,green,TRUE,green,appl,3,3,6,3,NA,3.75,an,5,800,18
48,2,170586,strawberry,red,TRUE,red,strawberri,5,6,5,6,NA,5.5,a,5,347,18
48,2,170588,fish,orange,TRUE,orang,fish,4,3,3,3,NA,3.25,a,5,1318,18
48,2,170588,bowl,orange,FALSE,orang,bowl,3,3,3,3,NA,3,a,4.87,477,18
48,2,170590,cat,orange,FALSE,orang,cat,2,3,3,3,NA,2.75,a,4.86,966,18
48,2,170713,ear,silky,TRUE,silki,ear,2,1,1,3,NA,1.75,an,5,606,18
48,2,170715,slipper,fuzzy,TRUE,fuzzi,slipper,4,3,6,3,NA,4,a,4.86,137,18
48,2,170717,tummy,furry,TRUE,furri,tummi,3,4,3,5,NA,3.75,a,4.68,293,18
48,2,170723,ear,silky,TRUE,silki,ear,2,1,1,3,NA,1.75,an,5,606,18
48,2,170724,slipper,fuzzy,TRUE,fuzzi,slipper,4,3,6,3,NA,4,a,4.86,137,18
48,2,170903,button,red,FALSE,red,button,3,1,5,3,NA,3,a,4.96,624,18
48,2,170904,button,red,TRUE,red,button,3,1,5,3,NA,3,a,4.96,624,18
48,3,171358,pen,yellow,TRUE,yellow,pen,5,2,3,3,NA,3.25,a,4.92,176,22
48,3,171373,pen,yellow,TRUE,yellow,pen,5,2,3,3,NA,3.25,a,4.92,176,22
48,3,171485,elephant,pink,TRUE,pink,eleph,2,1,1,1,NA,1.25,an,5,688,22
48,3,171537,hat,pink,TRUE,pink,hat,2,3,3,3,NA,2.75,a,4.88,886,22
48,3,171537,head,pink,FALSE,pink,head,6,3,1,2,NA,3,a,4.75,1340,22
48,3,171538,hat,pink,TRUE,pink,hat,2,3,3,3,NA,2.75,a,4.88,886,22
