adj,noun_orig,noun,mass,adj_article,noun_article,article
wooden,door,door,FALSE,a,NA,a
exterior,light,light,FALSE,an,NA,a
marble,roll,roll,FALSE,a,NA,a
flat,floor,floor,FALSE,a,NA,a
sash,window,window,FALSE,a,NA,a
grate,fire,fire,TRUE,,NA,
outside,world,world,FALSE,an,NA,a
dirty,dish,dish,FALSE,a,NA,a
red,basket,basket,FALSE,a,NA,a
top,shop,shop,FALSE,a,NA,a
flat,timber,timber,TRUE,,NA,
top,hits,hit,FALSE,a,a,a
sirloin,steak,steak,FALSE,a,NA,a
sleeveless,top,top,FALSE,a,NA,a
navy,shorts,shorts,TRUE,,NA,
brown,suite,suite,FALSE,a,NA,a
pink,squares,square,FALSE,a,NA,a
pink,burgundy,burgundy,TRUE,,NA,
dead,minty,minty,FALSE,a,NA,a
square,yards,yard,FALSE,a,NA,a
drop,curtains,curtain,FALSE,a,NA,a
cigar,smoke,smoke,TRUE,,NA,
quarter,past,past,FALSE,a,NA,a
plastic,grid,grid,FALSE,a,NA,a
spiral,nail,nail,FALSE,a,NA,a
spiral,grips,grip,FALSE,a,NA,a
sliced,potatoes,potato,FALSE,a,NA,a
oven,top,top,FALSE,an,NA,a
eleven,pound,pound,FALSE,an,NA,a
dark,ones,one,FALSE,a,a,a
dark,glasses,glasses,TRUE,,NA,
plastic,ones,one,FALSE,a,a,a
wooden,ones,one,FALSE,a,a,a
wooden,reels,reel,FALSE,a,NA,a
plastic,wallet,wallet,FALSE,a,NA,a
hot,sausages,sausage,FALSE,a,NA,a
brown,patches,patch,FALSE,a,NA,a
plastic,sacks,sack,FALSE,a,NA,a
broken,car,car,FALSE,a,NA,a
bottom,drawer,drawer,FALSE,a,NA,a
sweet,chocolate,chocolate,TRUE,,NA,
metal,plates,plate,FALSE,a,NA,a
fat,dinner,dinner,FALSE,a,NA,a
jelly,fish,fish,FALSE,a,NA,a
mashed,potatoes,potato,FALSE,a,NA,a
burnt,fingers,finger,FALSE,a,NA,a
garden,door,door,FALSE,a,NA,a
hot,days,day,FALSE,a,NA,a
top,penthouses,penthouse,FALSE,a,NA,a
seventh,mutant,mutant,FALSE,a,NA,a
solar,eclipse,eclipse,FALSE,a,NA,an
chief,art,art,TRUE,,NA,
chief,advisor,advisor,FALSE,a,NA,an
round,side,side,FALSE,a,NA,a
yellow,lines,line,FALSE,a,NA,a
picnic,table,table,FALSE,a,NA,a
apple,core,core,FALSE,an,NA,a
red,lady,lady,FALSE,a,NA,a
tin,cans,can,FALSE,a,NA,a
freeze,coffee,coffee,TRUE,,NA,
gold,coffee,coffee,TRUE,,NA,
top,sinking,sinking,FALSE,a,NA,a
bottom,cupboard,cupboard,FALSE,a,NA,a
powder,paints,paint,TRUE,,NA,
glazed,window,window,FALSE,a,NA,a
red,car,car,FALSE,a,NA,a
salmon,leaping,leaping,FALSE,a,NA,a
dill,tops,top,FALSE,a,NA,a
orange,cake,cake,FALSE,an,NA,a
strawberry,chocolate,chocolate,TRUE,,NA,
dirty,bottom,bottom,FALSE,a,NA,a
wooden,trough,trough,FALSE,a,NA,a
blonde,ones,one,FALSE,a,a,a
dirty,cloth,cloth,FALSE,a,NA,a
material,flower,flower,FALSE,a,NA,a
stew,pot,pot,FALSE,a,NA,a
wet,post,post,FALSE,a,NA,a
bright,red,red,TRUE,,NA,
gold,fish,fish,FALSE,a,NA,a
brown,ones,one,FALSE,a,a,a
blind,corner,corner,FALSE,a,NA,a
beep,beep,beep,FALSE,a,NA,a
dirty,outsides,outside,FALSE,a,an,an
hot,wax,wax,TRUE,,NA,
hot,wash,wash,FALSE,a,NA,a
pregnant,person,person,FALSE,a,NA,a
green,path,path,FALSE,a,NA,a
puppy,dog,dog,FALSE,a,NA,a
fat,girls,girl,FALSE,a,NA,a
forty,eight,eight,FALSE,a,NA,an
back,garden,garden,FALSE,a,NA,a
yellow,sleeve,sleeve,FALSE,a,NA,a
yellow,oranges,orange,FALSE,a,an,an
sweat,top,top,FALSE,a,NA,a
top,trainers,trainer,FALSE,a,NA,a
top,prizes,prize,FALSE,a,NA,a
